Grapheme	Name	Unicode	ID
ŋɡ	pulmonic stop prenasalized voiced velar	014BU0261	1822
ŋ̥ǁx	click fricative nasal lateral voiceless alveolar velar	014BU0325U01C1U0078	1410
ŋ̥ǀx	click fricative nasal voiceless dental velar	014BU0325U01C0U0078	1404
ŋ̥ǂx	click fricative nasal voiceless palatal velar	014BU0325U01C2U0078	1407
ŋ̥ǃx	click fricative nasal voiceless palato-alveolar velar	014BU0325U01C3U0078	1413
nm	pulmonic nasal voiced bilabial alveolar	006EU006D	2192
n̠m	pulmonic nasal voiced bilabial palato-alveolar	006EU0320U006D	2193
nmʲ	pulmonic nasal voiced palatalized bilabial alveolar	006EU006DU02B2	2194
n̠mʲ	pulmonic nasal voiced palatalized bilabial palato-alveolar	006EU0320U006DU02B2	2195
nmtp	pulmonic stop prenasalized voiceless bilabial alveolar	006EU006DU0074U0070	2183
n̠mt̠p	pulmonic stop prenasalized voiceless bilabial palato-alveolar	006EU0320U006DU0074U0320U0070	2181
nmtpʲ	pulmonic stop prenasalized voiceless palatalized bilabial alveolar	006EU006DU0074U0070U02B2	2177
n̠mt̠pʲ	pulmonic stop prenasalized voiceless palatalized bilabial palato-alveolar	006EU0320U006DU0074U0320U0070U02B2	2175
n̠ʑ	pulmonic fricative sibilant prenasalized voiced palatalized palato-alveolar	006EU0320U0291	2117
n̤	pulmonic nasal breathy voiced alveolar	006EU0324	2125
n̪̤	pulmonic nasal breathy voiced dental	006EU032AU0324	1957
n	pulmonic nasal voiced alveolar	006E	27
n̪	pulmonic nasal voiced dental	006EU032A	5806
nʷ	pulmonic nasal voiced labialized alveolar	006EU02B7	6065
'nʷ'	pulmonic nasal voiced labialized unspecified coronal place	0027U006EU02B7U0027	2120
n̰	pulmonic nasal voiced laryngealized alveolar	006EU0330	4951
n̪̰	pulmonic nasal voiced laryngealized dental	006EU032AU0330	2398
n̰ʲ	pulmonic nasal voiced laryngealized palatalized alveolar	006EU0330U02B2	5957
'n̰'	pulmonic nasal voiced laryngealized unspecified coronal place	0027U006EU0330U0027	5904
nː	pulmonic nasal voiced long alveolar	006EU02D0	2130
'nː'	pulmonic nasal voiced long unspecified coronal place	0027U006EU02D0U0027	2234
nʲ	pulmonic nasal voiced palatalized alveolar	006EU02B2	3085
n̪ʲ	pulmonic nasal voiced palatalized dental	006EU032AU02B2	1943
n̠ʲ	pulmonic nasal voiced palatalized retracted	006EU0320U02B2	1975
'nʲ'	pulmonic nasal voiced palatalized unspecified coronal place	0027U006EU02B2U0027	1882
n̠	pulmonic nasal voiced palato-alveolar	006EU0320	5805
nˤ	pulmonic nasal voiced pharyngealized  alveolar	006EU02E4	6107
'nˤ'	pulmonic nasal voiced pharyngealized  unspecified coronal place	0027U006EU02E4U0027	2282
'n'	pulmonic nasal voiced unspecified coronal place	0027U006EU0027	238
nˠ	pulmonic nasal voiced velarized alveolar	006EU02E0	5950
n̪ˠ	pulmonic nasal voiced velarized dental	006EU032AU02E0	1976
n̥	pulmonic nasal voiceless alveolar	006EU0325	4941
n̪̥	pulmonic nasal voiceless dental	006EU032AU0325	5811
'n̥'	pulmonic nasal voiceless unspecified coronal place	0027U006EU0325U0027	2127
nɺ	pulmonic tap/flap lateral prenasalized alveolar	006EU027A	2072
nr	pulmonic trill prenasalized voiced alveolar	006EU0072	2245
ns	pulmonic fricative sibilant prenasalized voiceless alveolar	006EU0073	2223
n̪s̪	pulmonic fricative sibilant prenasalized voiceless dental alveolar	006EU032AU0073U032A	1815
n̠t̠ʃʰ	pulmonic affricate sibilant prenasalized aspirated voiceless palato-alveolar	006EU0320U0074U0320U0283U02B0	5822
n̠t̠ʃ	pulmonic affricate sibilant prenasalized voiceless palato-alveolar	006EU0320U0074U0320U0283	5821
n̪t̪ʰ	pulmonic stop prenasalized aspirated voiceless dental alveolar	006EU032AU0074U032AU02B0	5818
nt	pulmonic stop prenasalized voiceless alveolar	006EU0074	2184
n̪t̪	pulmonic stop prenasalized voiceless dental	006EU032AU0074U032A	5802
ntʲ	pulmonic stop prenasalized voiceless palatalized alveolar	006EU0074U02B2	2178
n̠t̠ʲ	pulmonic stop prenasalized voiceless palatalized palato-alveolar	006EU0320U0074U0320U02B2	2176
n̠t̠	pulmonic stop prenasalized voiceless palato-alveolar	006EU0320U0074U0320	2182
'nt'	pulmonic stop prenasalized voiceless unspecified coronal place	0027U006EU0074U0027	2081
n̪t̪s̪ʰ	pulmonic affricate sibilant prenasalized aspirated voiceless alveolar	006EU032AU0074U032AU0073U032AU02B0	5820
nts	pulmonic affricate sibilant prenasalized voiceless alveolar	006EU0074U0073	6055
n̪t̪s̪	pulmonic affricate sibilant prenasalized voiceless alveolar	006EU032AU0074U032AU0073U032A	5819
'nts'	pulmonic affricate sibilant prenasalized voiceless unspecified coronal place	0027U006EU0074U0073U0027	2082
nz	pulmonic fricative sibilant prenasalized voiced alveolar	006EU007A	1997
n̪z̪	pulmonic fricative sibilant prenasalized voiced dental	006EU032AU007AU032A	2164
n̠ʒ	pulmonic fricative sibilant prenasalized voiced palato-alveolar	006EU0320U0292	2641
oa	diphtong higher mid low central back unrounded rounded lowering fronting unrounding	006FU0061	1575
ɔa	diphtong lower mid low central back unrounded rounded lowering fronting unrounding	0254U0061	1516
õã	nasalized diphtong higher mid low central back unrounded rounded lowering fronting unrounding	006FU0303U0061U0303	1573
o̤	breathy voiced higher mid back rounded	006FU0324	3401
ɔ̤	breathy voiced lower mid back rounded	0254U0324	3398
oʉ	diphtong high higher mid central back rounded rising fronting	006FU0289	5995
oɨ	diphtong high higher mid central back unrounded rounded rising fronting unrounding	006FU0268	1568
oʊ	diphtong lowered high higher mid back rounded rising	006FU028A	1506
ɔɪ	diphtong lowered high lower mid front back unrounded rounded rising fronting unrounding	0254U026A	1473
oə	diphtong higher mid central back unrounded rounded fronting unrounding	006FU0259	6074
õə̃	diphtong higher mid central back unrounded rounded fronting unrounding nasalizing	006FU0303U0259U0303	6078
oe	diphtong higher mid front back unrounded rounded fronting unrounding	006FU0065	1578
oɛ	diphtong higher mid lower mid front back unrounded rounded lowering fronting unrounding	006FU025B	1579
o̰ḛ	laryngealized diphtong higher mid front back unrounded rounded fronting unrounding	006FU0330U0065U0330	6088
œː	long lower mid front rounded	0153U02D0	1647
œ	lower mid front rounded	0153	195
œ̃	nasalized lower mid front rounded	0153U0303	1791
œy	diphtong high lower mid front rounded rising	0153U0079	1560
o	higher mid back rounded	006F	192
ɵ	higher mid central rounded	0275	210
ø	higher mid front rounded	00F8	185
oi	diphtong high higher mid front back unrounded rounded rising fronting unrounding	006FU0069	1478
øi	diphtong high higher mid front unrounded rounded rising unrounding	00F8U0069	1593
ɔi	diphtong high lower mid front back unrounded rounded rising fronting unrounding	0254U0069	1497
õĩ	nasalized diphtong high higher mid front back unrounded rounded rising fronting unrounding	006FU0303U0069U0303	1501
o̰	laryngealized higher mid back rounded	006FU0330	1656
ø̰	laryngealized higher mid front rounded	00F8U0330	6000
ɔ̰	laryngealized lower mid back rounded	0254U0330	1655
oː	long higher mid back rounded	006FU02D0	5503
ɵː	long higher mid central rounded	0275U02D0	6013
øː	long higher mid front rounded	00F8U02D0	1645
ɔː	long lower mid back rounded	0254U02D0	5304
'oː'	long unspecified mid back rounded	0027U006FU02D0U0027	1639
ɔ	lower mid back rounded	0254	205
õ	nasalized higher mid back rounded	006FU0303	5875
ɵ̃	nasalized higher mid central rounded	0275U0303	1761
ø̃	nasalized higher mid front rounded	00F8U0303	1680
õ̰	nasalized laryngealized higher mid back rounded	006FU0303U0330	1691
õː	nasalized long higher mid back rounded	006FU0303U02D0	1604
ø̃ː	nasalized long higher mid front rounded	00F8U0303U02D0	1776
ɔ̃ː	nasalized long lower mid back rounded	0254U0303U02D0	5303
'õː'	nasalized long unspecified mid back rounded	0027U006FU0303U02D0U0027	1644
ɔ̃	nasalized lower mid back rounded	0254U0303	5871
'õ'	nasalized unspecified mid back rounded	0027U006FU0303U0027	1642
ŏ	overshort higher mid back rounded	006FU0306	1787
ø̆	overshort higher mid front rounded	00F8U0306	1637
ɔ̆	overshort lower mid back rounded	0254U0306	1638
øø̥	voiceless diphtong higher mid front rounded	00F8U00F8U0325	1490
ɔɔ̥	voiceless diphtong lower mid back rounded	0254U0254U0325	1492
ou	diphtong high higher mid back rounded rising	006FU0075	3937
ɔu	diphtong high lower mid back rounded rising	0254U0075	1495
õũ	nasalized diphtong high higher mid back rounded rising	006FU0303U0075U0303	2435
'o'	unspecified mid back rounded	0027U006FU0027	240
'ɵ'	unspecified mid central rounded	0027U0275U0027	5902
ɨ̆	overshort high central unrounded	0268U0306	1784
ɔy	diphtong high lower mid front back rounded rising fronting	0254U0079	4701
øy	long diphtong high higher mid front rounded rising	00F8U0079	1559
pʼ	ejective stop bilabial	0070U02BC	1811
pʷʼ	ejective stop labialized bilabial	0070U02B7U02BC	2039
pfʼ	ejective affricate bilabial labio-dental	0070U0066U02BC	2098
pf	pulmonic affricate voiceless bilabial labio-dental	0070U0066	1806
ɑˤ	pharyngealized  low back unrounded	0251U02E4	6017
pɸ	pulmonic affricate voiceless bilabial	0070U0278	1999
pʰ	pulmonic stop aspirated voiceless bilabial	0070U02B0	5823
pʰʷ	pulmonic stop aspirated voiceless labialized bilabial	0070U02B0U02B7	6047
pʲʰ	pulmonic stop aspirated voiceless palatalized bilabial	0070U02B2U02B0	2110
ʰp	pulmonic stop pre-aspirated voiceless bilabial	02B0U0070	2134
p	pulmonic stop voiceless bilabial	0070	2
pʷ	pulmonic stop voiceless labialized bilabial	0070U02B7	1866
pʷʲ	pulmonic stop voiceless labialized palatalized bilabial	0070U02B7U02B2	2185
p̰	pulmonic stop voiceless laryngealized bilabial	0070U0330	3260
pː	pulmonic stop voiceless long bilabial	0070U02D0	3036
pʲ	pulmonic stop voiceless palatalized bilabial	0070U02B2	3086
pˠ	pulmonic stop voiceless velarized bilabial	0070U02E0	1983
ʈʂʰ	pulmonic affricate sibilant aspirated voiceless retroflex	0288U0282U02B0	1869
ʈʂ	pulmonic affricate sibilant voiceless retroflex	0288U0282	5825
ɟʝ	pulmonic affricate voiced palatal	025FU029D	3186
ɟʑ	pulmonic affricate voiced palatalized palato-alveolar	025FU0291	5877
ʎ	pulmonic approximant lateral voiced palatal	028E	99
ɭ	pulmonic approximant lateral voiced retroflex	026D	97
ʟ	pulmonic approximant lateral voiced velar	029F	101
ɭ̥	pulmonic approximant lateral voiceless retroflex	026DU0325	3978
ɰ̃	pulmonic approximant nasalized voiced velar	0270U0303	5994
ɹ	pulmonic approximant voiced alveolar	0279	66
ɥ	pulmonic approximant voiced bilabial palatal	0265	72
ʋ	pulmonic approximant voiced labio-dental	028B	65
ɹ̰	pulmonic approximant voiced laryngealized alveolar	0279U0330	5919
ɰ̰	pulmonic approximant voiced laryngealized velar	0270U0330	4719
ʋʲ	pulmonic approximant voiced palatalized labio-dental	028BU02B2	5965
ɻ	pulmonic approximant voiced retroflex	027B	67
ɻ̝	pulmonic approximant voiced retroflex	027BU031D	5953
ʁ̞	pulmonic approximant voiced uvular	0281U031E	2884
ɰ	pulmonic approximant voiced velar	0270	69
ɸ̞	pulmonic approximant voiceless bilabial	0278U031E	73
ʍ	pulmonic approximant voiceless bilabial velar	028D	71
ɮ	pulmonic fricative lateral voiced alveolar	026E	88
ɮ̪	pulmonic fricative lateral voiced dental	026EU032A	3731
ɮʲ	pulmonic fricative lateral voiced palatalized alveolar	026EU02B2	2089
ɬ	pulmonic fricative lateral voiceless alveolar	026C	87
ɬ̪	pulmonic fricative lateral voiceless dental	026CU032A	89
ɬ̪ː	pulmonic fricative lateral voiceless long dental	026CU032AU02D0	2790
ɬˤ	pulmonic fricative lateral voiceless pharyngealized  alveolar	026CU02E4	6099
'ɬ'	pulmonic fricative lateral voiceless unspecified coronal place	0027U026CU0027	2037
ɦ̃	pulmonic fricative nasalized voiced glottal	0266U0303	5936
ʑ	pulmonic fricative sibilant voiced palatalized palato-alveolar	0291	84
ʐ	pulmonic fricative sibilant voiced retroflex	0290	82
ʃʷ	pulmonic fricative sibilant voiceless labialized palato-alveolar	0283U02B7	3028
ɕ	pulmonic fricative sibilant voiceless palatalized palato-alveolar	0255	83
ʃʲ	pulmonic fricative sibilant voiceless palatalized palato-alveolar	0283U02B2	5968
ʃ	pulmonic fricative sibilant voiceless palato-alveolar	0283	79
ʃ̫	pulmonic fricative sibilant voiceless palato-alveolar whistled	0283U032B	6021
ʃˤ	pulmonic fricative sibilant voiceless pharyngealized  palato-alveolar	0283U02E4	2279
ʂ	pulmonic fricative sibilant voiceless retroflex	0282	81
ʃˠ	pulmonic fricative sibilant voiceless velarized palato-alveolar	0283U02E0	5966
ʢ	pulmonic fricative voiced epiglottal	02A2	5973
ɦ	pulmonic fricative voiced glottal	0266	59
ʕʷ	pulmonic fricative voiced labialized pharyngeal	0295U02B7	1906
ʁʷ	pulmonic fricative voiced labialized uvular	0281U02B7	4159
ɣʷ	pulmonic fricative voiced labialized velar	0263U02B7	5488
ʝ	pulmonic fricative voiced palatal	029D	51
ɦʲ	pulmonic fricative voiced palatalized glottal	0266U02B2	5972
ʕ	pulmonic fricative voiced pharyngeal	0295	57
ʁ	pulmonic fricative voiced uvular	0281	55
ɣ	pulmonic fricative voiced velar	0263	53
ɸ	pulmonic fricative voiceless bilabial	0278	46
ʜ	pulmonic fricative voiceless epiglottal	029C	60
ɸʷ	pulmonic fricative voiceless labialized bilabial	0278U02B7	5260
ɸʲ	pulmonic fricative voiceless palatalized bilabial	0278U02B2	4703
ɳ̤	pulmonic nasal breathy voiced retroflex	0273U0324	2206
ɲ̤	pulmonic nasal voiced breathy voiced palatal	0272U0324	6009
ɱ	pulmonic nasal voiced labio-dental	0271	25
ɲ̰	pulmonic nasal voiced laryngealized palatal	0272U0330	4697
ɲː	pulmonic nasal voiced long palatal	0272U02D0	1873
ɲ	pulmonic nasal voiced palatal	0272	31
ɳ	pulmonic nasal voiced retroflex	0273	29
ɴ	pulmonic nasal voiced uvular	0274	35
ɲ̥	pulmonic nasal voiceless palatal	0272U0325	3981
ɳ̥	pulmonic nasal voiceless retroflex	0273U0325	3980
ɟʎ	pulmonic stop approximant lateral voiced palatal	025FU028E	6106
ʈʰ	pulmonic stop aspirated voiceless retroflex	0288U02B0	5320
ɡ̤	pulmonic stop breathy voiced velar	0261U0324	1951
ɲɟ	pulmonic stop prenasalized voiced palatal	0272U025F	3238
ɳʈ	pulmonic stop prenasalized voiceless retroflex	0273U0288	2252
ʈɽ	pulmonic stop tap/flap voiceless voiced retroflex	0288U027D	2002
ɟ̤	pulmonic stop voiced breathy voiced palatal	025FU0324	5993
ɡ̤ʲ	pulmonic stop voiced breathy voiced palatalized velar	0261U0324U02B2	5949
ɢʷ	pulmonic stop voiced labialized uvular	0262U02B7	3030
ɡʷ	pulmonic stop voiced labialized velar	0261U02B7	1902
ȸ	pulmonic stop voiced labio-dental	0238	18
ɡ̰ʷ	pulmonic stop voiced laryngealized labialized velar	0261U0330U02B7	5944
ɟ̰	pulmonic stop voiced laryngealized palatal	025FU0330	4700
ɡ̰	pulmonic stop voiced laryngealized velar	0261U0330	5943
ɟ	pulmonic stop voiced palatal	025F	10
ɟɲ	pulmonic stop voiced palatal	025FU0272	6103
ɡʲ	pulmonic stop voiced palatalized velar	0261U02B2	1914
ɢ	pulmonic stop voiced uvular	0262	14
ɡ	pulmonic stop voiced velar	0261	173
ʡ	pulmonic stop voiceless epiglottal	02A1	17
ʔ	pulmonic stop voiceless glottal	0294	15
ʔʷ	pulmonic stop voiceless labialized glottal	0294U02B7	4160
ʔʲ	pulmonic stop voiceless palatalized glottal	0294U02B2	1890
ʈ	pulmonic stop voiceless retroflex	0288	7
ɾ̤	pulmonic tap/flap breathy voiced alveolar	027EU0324	1954
ɽ̤	pulmonic tap/flap breathy voiced retroflex	027DU0324	1955
ɺ	pulmonic tap/flap lateral alveolar	027A	127
ɺʲ	pulmonic tap/flap lateral palatalized alveolar	027AU02B2	2274
ɺ̣	pulmonic tap/flap lateral retroflex	027AU0323	2638
ɾ	pulmonic tap/flap voiced alveolar	027E	121
ɾ̪	pulmonic tap/flap voiced dental	027EU032A	2401
	pulmonic tap/flap voiced labio-dental	F25F	120
ɾ̰	pulmonic tap/flap voiced laryngealized alveolar	027EU0330	2092
ɾʲ	pulmonic tap/flap voiced palatalized alveolar	027EU02B2	1986
ɾˤ	pulmonic tap/flap voiced pharyngealized  alveolar	027EU02E4	1970
ɽ	pulmonic tap/flap voiced retroflex	027D	119
'ɾ'	pulmonic tap/flap voiced unspecified coronal place	0027U027EU0027	237
ɾˠ	pulmonic tap/flap voiced velarized alveolar	027EU02E0	1985
ɾ̥	pulmonic tap/flap voiceless alveolar	027EU0325	2214
ɽ̥	pulmonic tap/flap voiceless retroflex	027DU0325	4994
ʀʲ	pulmonic trill voiced palatalized uvular	0280U02B2	2228
ʀ	pulmonic trill voiced uvular	0280	43
qʷʼ	ejective stop labialized uvular	0071U02B7U02BC	1876
qʲʼ	ejective stop palatalized uvular	0071U02B2U02BC	1907
qʼ	ejective stop uvular	0071U02BC	1814
qʷʰ	pulmonic stop aspirated voiceless labialized uvular	0071U02B7U02B0	3852
qʰ	pulmonic stop aspirated voiceless uvular	0071U02B0	5814
ʰq	pulmonic stop pre-aspirated voiceless uvular	02B0U0071	6005
ɴqʰ	pulmonic stop prenasalized aspirated voiceless uvular	0274U0071U02B0	5923
ɴq	pulmonic stop prenasalized voiceless uvular	0274U0071	5922
qʷ	pulmonic stop voiceless labialized uvular	0071U02B7	3850
q	pulmonic stop voiceless uvular	0071	13
ɒ̝	raised low back rounded	0252U031D	208
ɐ	raised low central unrounded	0250	204
r̝	pulmonic fricative trill voiced alveolar	0072U031D	125
r	pulmonic trill voiced alveolar	0072	42
r̪	pulmonic trill voiced dental	0072U032A	44
r̰	pulmonic trill voiced laryngealized alveolar	0072U0330	4714
rʲ	pulmonic trill voiced palatalized alveolar	0072U02B2	3087
r̪ʲ	pulmonic trill voiced palatalized dental	0072U032AU02B2	1942
rˤ	pulmonic trill voiced pharyngealized  alveolar	0072U02E4	6010
r̠	pulmonic trill voiced retracted	0072U0320	1837
ṛ	pulmonic trill voiced retroflex	0072U0323	45
'r'	pulmonic trill voiced unspecified coronal place	0027U0072U0027	236
rˠ	pulmonic trill voiced velarized alveolar	0072U02E0	5951
r̥	pulmonic trill voiceless alveolar	0072U0325	2005
r̝̥	pulmonic trill voiceless alveolar supra high	0072U031DU0325	6063
rr	pulmonic unspecified rhotic voiced alveolar	0072U0072	5784
'rrʲ'	pulmonic unspecified rhotic voiced palatalized unspecified coronal place	0027U0072U0072U02B2U0027	2077
'rr'	pulmonic unspecified rhotic voiced unspecified coronal place	0027U0072U0072U0027	1841
sʼ	ejective fricative sibilant alveolar	0073U02BC	1916
s̪ʼ	ejective fricative sibilant dental	0073U032AU02BC	6073
sʰ	pulmonic fricative sibilant aspirated voiceless alveolar	0073U02B0	4195
s	pulmonic fricative sibilant voiceless alveolar	0073	77
s̫	pulmonic fricative sibilant voiceless alveolar whistled	0073U032B	6019
s̪	pulmonic fricative sibilant voiceless dental	0073U032A	5824
sʷ	pulmonic fricative sibilant voiceless labialized alveolar	0073U02B7	1930
s̰̪	pulmonic fricative sibilant voiceless laryngealized dental	0073U0330U032A	5893
sʲ	pulmonic fricative sibilant voiceless palatalized alveolar	0073U02B2	3088
s̪ʲ	pulmonic fricative sibilant voiceless palatalized dental	0073U032AU02B2	1936
sˤ	pulmonic fricative sibilant voiceless pharyngealized  alveolar	0073U02E4	1967
s̪ˤ	pulmonic fricative sibilant voiceless pharyngealized  dental	0073U032AU02E4	5509
'sˤ'	pulmonic fricative sibilant voiceless pharyngealized  unspecified coronal place	0027U0073U02E4U0027	2278
s̠	pulmonic fricative sibilant voiceless retracted	0073U0320	6091
's'	pulmonic fricative sibilant voiceless unspecified coronal place	0027U0073U0027	235
sˠ	pulmonic fricative sibilant voiceless velarized alveolar	0073U02E0	1973
tçʰ	pulmonic affricate aspirated voiceless alveolar palatal	0074U00E7U02B0	1988
tç	pulmonic affricate voiceless alveolar palatal	0074U00E7	1987
tɬʼ	ejective affricate lateral alveolar	0074U026CU02BC	1828
t̪ɬ̪ʼ	ejective affricate lateral dental alveolar	0074U032AU026CU032AU02BC	6050
t̠ʃʼ	ejective affricate sibilant palato-alveolar	0074U0320U0283U02BC	1809
t̠ʃ̫ʼ	ejective affricate sibilant palato-alveolar retracted whistled	0074U0320U0283U032BU02BC	6028
t̠ʃˤʼ	ejective affricate sibilant pharyngealized  palato-alveolar retracted	0074U0320U0283U02E4U02BC	6098
tʼ	ejective stop alveolar	0074U02BC	1812
t̪ʼ	ejective stop dental	0074U032AU02BC	1836
tʷʼ	ejective stop labialized alveolar	0074U02B7U02BC	1901
tʲʼ	ejective stop palatalized alveolar	0074U02B2U02BC	6059
'tʼ'	ejective stop unspecified coronal place	0027U0074U02BCU0027	1960
t̠n̠	pulmonic stop voiceless palato-alveolar nasal release	0074U0320U006EU0320	2170
t̠pn̠m	pulmonic stop voiceless bilabial palato-alveolar nasal release	0074U0320U0070U006EU0320U006D	2189
tp	pulmonic stop voiceless bilabial alveolar	0074U0070	1946
t̠p	pulmonic stop voiceless bilabial retracted	0074U0320U0070	2188
tpʲ	pulmonic stop voiceless palatalized bilabial alveolar	0074U0070U02B2	2187
t̠pʲ	pulmonic stop voiceless palatalized bilabial retracted	0074U0320U0070U02B2	2186
tɬʰ	pulmonic affricate lateral aspirated voiceless alveolar	0074U026CU02B0	5477
t̪ɬ̪ʰ	pulmonic affricate lateral aspirated voiceless dental alveolar	0074U032AU026CU032AU02B0	6049
'tɬʰ'	pulmonic affricate lateral aspirated voiceless unspecified coronal place	0027U0074U026CU02B0U0027	2045
tɬ	pulmonic affricate lateral voiceless alveolar	0074U026C	5790
t̪ɬ̪	pulmonic affricate lateral voiceless dental alveolar	0074U032AU026CU032A	6048
t̰ɬ̰	pulmonic affricate lateral voiceless laryngealized alveolar	0074U0330U026CU0330	4716
'tɬ'	pulmonic affricate lateral voiceless unspecified coronal place	0027U0074U026CU0027	5938
t̠ʃʷʰ	pulmonic affricate sibilant aspirated voiceless labialized palato-alveolar	0074U0320U0283U02B7U02B0	3052
tɕʰ	pulmonic affricate sibilant aspirated voiceless palatalized palato-alveolar	0074U0255U02B0	1870
t̠ɕʰ	pulmonic affricate sibilant aspirated voiceless palatalized palato-alveolar	0074U0320U0255U02B0	5324
t̠ʃʰ	pulmonic affricate sibilant aspirated voiceless palato-alveolar	0074U0320U0283U02B0	5832
t̠ʃ̫ʰ	pulmonic affricate sibilant aspirated voiceless palato-alveolar retracted whistled	0074U0320U0283U032BU02B0	6030
ʰt̠ʃ	pulmonic affricate sibilant pre-aspirated voiceless palato-alveolar	02B0U0074U0320U0283	2131
ɳtʂʰ	pulmonic affricate sibilant prenasalized aspirated voiceless retroflex	0273U0074U0282U02B0	5803
ɳtʂ	pulmonic affricate sibilant prenasalized voiceless retroflex	0273U0074U0282	5804
t̠̰ʃ̰	pulmonic affricate sibilant voiceless laryngealized palato-alveolar	0074U0320U0330U0283U0330	3262
t̠ʃː	pulmonic affricate sibilant voiceless long palato-alveolar	0074U0320U0283U02D0	3049
tɕ	pulmonic affricate sibilant voiceless palatalized palato-alveolar	0074U0255	144
t̠ɕ	pulmonic affricate sibilant voiceless palatalized palato-alveolar	0074U0320U0255	5323
t̠ʃʲ	pulmonic affricate sibilant voiceless palatalized palato-alveolar retracted	0074U0320U0283U02B2	5963
t̠ʃ	pulmonic affricate sibilant voiceless palato-alveolar	0074U0320U0283	138
t̠ʃ̫	pulmonic affricate sibilant voiceless palato-alveolar retracted whistled	0074U0320U0283U032B	6025
tʰ	pulmonic stop aspirated voiceless alveolar	0074U02B0	5362
t̪ʰ	pulmonic stop aspirated voiceless dental	0074U032AU02B0	5828
t̪ʷʰ	pulmonic stop aspirated voiceless labialized dental	0074U032AU02B7U02B0	5927
tʲʰ	pulmonic stop aspirated voiceless palatalized alveolar	0074U02B2U02B0	5928
t̪ʲʰ	pulmonic stop aspirated voiceless palatalized dental	0074U032AU02B2U02B0	5901
'tʲʰ'	pulmonic stop aspirated voiceless palatalized unspecified coronal place	0027U0074U02B2U02B0U0027	2109
'tʰ'	pulmonic stop aspirated voiceless unspecified coronal place	0027U0074U02B0U0027	1889
ʰt	pulmonic stop pre-aspirated voiceless alveolar	02B0U0074	2133
t	pulmonic stop voiceless alveolar	0074	5
t̪	pulmonic stop voiceless dental	0074U032A	5127
tʷ	pulmonic stop voiceless labialized alveolar	0074U02B7	1904
t̪ʷ	pulmonic stop voiceless labialized dental	0074U032AU02B7	5926
t̰	pulmonic stop voiceless laryngealized alveolar	0074U0330	3259
t̪̰	pulmonic stop voiceless laryngealized dental	0074U032AU0330	2764
tː	pulmonic stop voiceless long alveolar	0074U02D0	3046
tʲ	pulmonic stop voiceless palatalized alveolar	0074U02B2	3089
t̪ʲ	pulmonic stop voiceless palatalized dental	0074U032AU02B2	1940
't̪ʲ'	pulmonic stop voiceless palatalized dental unspecified coronal place	0027U0074U032AU02B2U0027	6062
t̠ʲ	pulmonic stop voiceless palatalized retracted	0074U0320U02B2	1981
'tʲ'	pulmonic stop voiceless palatalized unspecified coronal place	0027U0074U02B2U0027	1881
t̠	pulmonic stop voiceless palato-alveolar	0074U0320	3823
tˤ	pulmonic stop voiceless pharyngealized  alveolar	0074U02E4	2232
t̪ˤ	pulmonic stop voiceless pharyngealized  dental	0074U032AU02E4	5507
'tˤ'	pulmonic stop voiceless pharyngealized  unspecified coronal place	0027U0074U02E4U0027	2276
't'	pulmonic stop voiceless unspecified coronal place	0027U0074U0027	227
t̪ˠ	pulmonic stop voiceless velarized dental	0074U032AU02E0	1982
tr	pulmonic stop trilled release voiceless alveolar	0074U0072	164
tsʼ	ejective affricate sibilant alveolar	0074U0073U02BC	1808
ts̫ʼ	ejective affricate sibilant alveolar whistled	0074U0073U032BU02BC	6027
t̪s̪ʼ	ejective affricate sibilant dental	0074U032AU0073U032AU02BC	1848
tsʷʼ	ejective affricate sibilant labialized alveolar	0074U0073U02B7U02BC	1897
tsˤʼ	ejective affricate sibilant pharyngealized  alveolar	0074U0073U02E4U02BC	6097
'tsʼ'	ejective affricate sibilant unspecified coronal place	0027U0074U0073U02BCU0027	2049
tsʰ	pulmonic affricate sibilant aspirated voiceless alveolar	0074U0073U02B0	5474
ts̫ʰ	pulmonic affricate sibilant aspirated voiceless alveolar whistled	0074U0073U032BU02B0	6029
t̪s̪ʰ	pulmonic affricate sibilant aspirated voiceless dental	0074U032AU0073U032AU02B0	5830
tsʷʰ	pulmonic affricate sibilant aspirated voiceless labialized alveolar	0074U0073U02B7U02B0	3031
'tsʲʰ'	pulmonic affricate sibilant aspirated voiceless palatalized unspecified coronal place	0027U0074U0073U02B2U02B0U0027	5255
'tsʰ'	pulmonic affricate sibilant aspirated voiceless unspecified coronal place	0027U0074U0073U02B0U0027	1888
ʰts	pulmonic affricate sibilant pre-aspirated voiceless alveolar	02B0U0074U0073	6006
ts	pulmonic affricate sibilant voiceless alveolar	0074U0073	5796
ts̫	pulmonic affricate sibilant voiceless alveolar whistled	0074U0073U032B	6023
t̪s̪	pulmonic affricate sibilant voiceless dental	0074U032AU0073U032A	5829
tsʷ	pulmonic affricate sibilant voiceless labialized alveolar	0074U0073U02B7	1899
t̰s̰	pulmonic affricate sibilant voiceless laryngealized alveolar	0074U0330U0073U0330	3264
t̪s̪ʲ	pulmonic affricate sibilant voiceless palatalized dental alveolar	0074U032AU0073U032AU02B2	5961
'tsʲ'	pulmonic affricate sibilant voiceless palatalized unspecified coronal place	0027U0074U0073U02B2U0027	1887
