ID,Name,Description,CLTS_BIPA,CLTS_Name,LAPSYD_Features
nmtp_u006Eu0320u006Du0074u0320u0070,n̠mt̠p,pulmonic stop prenasalized voiceless bilabial palato-alveolar,ⁿt̠p,from retracted pre-nasalized voiceless alveolar stop to voiceless bilabial stop cluster,pulmonic stop prenasalized voiceless bilabial palato-alveolar
e_u0065u0303u0259u0303,ẽə̃,diphtong higher mid front central unrounded backing nasalizing,ẽə̃,from nasalized unrounded close-mid front to nasalized unrounded mid central diphthong,diphtong higher mid front central unrounded backing nasalizing
ng_u006Eu02E0,nˠ,pulmonic nasal voiced velarized alveolar,nˠ,velarized voiced alveolar nasal consonant,pulmonic nasal voiced velarized alveolar
oy_u0254u0079,ɔy,diphtong high lower mid front back rounded rising fronting,ɔy,from rounded open-mid back to rounded close front diphthong,diphtong high lower mid front back rounded rising fronting
z_u0290,ʐ,pulmonic fricative sibilant voiced retroflex,ʐ,voiced retroflex sibilant fricative consonant,pulmonic fricative sibilant voiced retroflex
e_u025Cu02D0,ɜː,long lower mid central unrounded,ɜː,long unrounded open-mid central vowel,long lower mid central unrounded
r_u0072u0320,r̠,pulmonic trill voiced retracted,r̠,retracted voiced alveolar trill consonant,pulmonic trill voiced retracted
n_u006Eu02D0,nː,pulmonic nasal voiced long unspecified coronal place,nː,long voiced alveolar nasal consonant,pulmonic nasal voiced long unspecified coronal place
o_u0275u02D0,ɵː,long higher mid central rounded,ɵː,long rounded close-mid central vowel,long higher mid central rounded
ei_u0065u026A,eɪ,diphtong lowered high higher mid front unrounded rising,eɪ,from unrounded close-mid front to unrounded near-close near-front diphthong,diphtong lowered high higher mid front unrounded rising
w_u026Fu0330,ɯ̰,laryngealized high back unrounded,ɯ̰,creaky unrounded close back vowel,laryngealized high back unrounded
l_u006Cu032Au02E4,l̪ˤ,pulmonic approximant lateral voiced pharyngealized dental,l̪ˤ,pharyngealized voiced dental lateral approximant consonant,pulmonic approximant lateral voiced pharyngealized dental
nm_u006Eu006D,nm,pulmonic nasal voiced bilabial alveolar,nm,voiced alveolar-and-bilabial nasal consonant,pulmonic nasal voiced bilabial alveolar
sw_u0283u02B7,ʃʷ,pulmonic fricative sibilant voiceless labialized palato-alveolar,ʃʷ,labialized voiceless post-alveolar sibilant fricative consonant,pulmonic fricative sibilant voiceless labialized palato-alveolar
oa_u0254u0061,ɔa,diphtong lower mid low central back unrounded rounded lowering fronting unrounding,ɔa,from rounded open-mid back to unrounded open front diphthong,diphtong lower mid low central back unrounded rounded lowering fronting unrounding
gb_u0261u0062,ɡb,pulmonic stop voiced bilabial velar,gb,voiced velar-and-bilabial stop consonant,pulmonic stop voiced bilabial velar
p_u0070u02D0,pː,pulmonic stop voiceless long bilabial,pː,long voiceless bilabial stop consonant,pulmonic stop voiceless long bilabial
dzw_u0064u007Au02B7,dzʷ,pulmonic affricate sibilant voiced labialized alveolar,dzʷ,labialized voiced alveolar sibilant affricate consonant,pulmonic affricate sibilant voiced labialized alveolar
th_u03B8,θ,pulmonic fricative voiceless dental,θ,voiceless dental fricative consonant,pulmonic fricative voiceless dental
t_u0074u0330,t̰,pulmonic stop voiceless laryngealized alveolar,t̰,creaky voiceless alveolar stop consonant,pulmonic stop voiceless laryngealized alveolar
l_u026Du0325,ɭ̥,pulmonic approximant lateral voiceless retroflex,ɭ̊,devoiced voiced retroflex lateral approximant consonant,pulmonic approximant lateral voiceless retroflex
