ID,Name,Description,CLTS_BIPA,CLTS_Name,LAPSYD_Features
tj_u0074u0320u02B2,t̠ʲ,pulmonic stop voiceless palatalized retracted,t̠ʲ,palatalized voiceless post-alveolar stop consonant,pulmonic stop voiceless palatalized retracted
nz_u006Eu032Au007Au032A,n̪z̪,pulmonic fricative sibilant prenasalized voiced dental,ⁿz̪,pre-nasalized voiced dental sibilant fricative consonant,pulmonic fricative sibilant prenasalized voiced dental
sj_u0283u02B2,ʃʲ,pulmonic fricative sibilant voiceless palatalized palato-alveolar,ʃʲ,palatalized voiceless post-alveolar sibilant fricative consonant,pulmonic fricative sibilant voiceless palatalized palato-alveolar
_u02A2,ʢ,pulmonic fricative voiced epiglottal,ʢ,voiced epiglottal fricative consonant,pulmonic fricative voiced epiglottal
q_u0071,q,pulmonic stop voiceless uvular,q,voiceless uvular stop consonant,pulmonic stop voiceless uvular
m_u006Du0324,m̤,pulmonic nasal breathy voiced bilabial,mʱ,breathy voiced bilabial nasal consonant,pulmonic nasal breathy voiced bilabial
ie_u0069u0330u0065u0330,ḭḛ,laryngealized diphtong high higher mid front unrounded lowering,ḭḛ,from creaky unrounded close front to creaky unrounded close-mid front diphthong,laryngealized diphtong high higher mid front unrounded lowering
r_u0072u0323,ṛ,pulmonic trill voiced retroflex,ṛ,voiced retroflex trill consonant,pulmonic trill voiced retroflex
dz_u0064u007A,dz,pulmonic affricate sibilant voiced unspecified coronal place,dz,voiced alveolar sibilant affricate consonant,pulmonic affricate sibilant voiced unspecified coronal place
r_u027Eu0325,ɾ̥,pulmonic tap/flap voiceless alveolar,ɾ̥,devoiced voiced alveolar tap consonant,pulmonic tap/flap voiceless alveolar
s_u0073u02E4,sˤ,pulmonic fricative sibilant voiceless pharyngealized unspecified coronal place,sˤ,pharyngealized voiceless alveolar sibilant fricative consonant,pulmonic fricative sibilant voiceless pharyngealized unspecified coronal place
tc_u0074u0063u0327,tç,pulmonic affricate voiceless alveolar palatal,tɕ,voiceless alveolo-palatal sibilant affricate consonant,pulmonic affricate voiceless alveolar palatal
v_u0076,v,pulmonic fricative voiced labio-dental,v,voiced labio-dental fricative consonant,pulmonic fricative voiced labio-dental
ts_u0074u0073,ts,pulmonic affricate sibilant voiceless unspecified coronal place,ts,voiceless alveolar sibilant affricate consonant,pulmonic affricate sibilant voiceless unspecified coronal place
z_u007Au032Au02E4,z̪ˤ,pulmonic fricative sibilant voiced pharyngealized dental,z̪ˤ,pharyngealized voiced dental sibilant fricative consonant,pulmonic fricative sibilant voiced pharyngealized dental
c_u0255,ɕ,pulmonic fricative sibilant voiceless palatalized palato-alveolar,ɕ,voiceless alveolo-palatal sibilant fricative consonant,pulmonic fricative sibilant voiceless palatalized palato-alveolar
vj_u0076u02B2,vʲ,pulmonic fricative voiced palatalized labio-dental,vʲ,palatalized voiced labio-dental fricative consonant,pulmonic fricative voiced palatalized labio-dental
e_u0065u0303u02D0,ẽː,nasalized long unspecified mid front unrounded,ẽː,long nasalized unrounded close-mid front vowel,nasalized long unspecified mid front unrounded
tw_u0074u02B7u02BC,tʷʼ,ejective stop labialized alveolar,tʼʷ,labialized voiceless alveolar ejective stop consonant,ejective stop labialized alveolar
z_u007Au032B,z̫,pulmonic fricative sibilant voiced alveolar whistled,z̫,voiced alveolar whistled-sibilant fricative consonant,pulmonic fricative sibilant voiced alveolar whistled
m_u006Du02D0,mː,pulmonic nasal voiced long bilabial,mː,long voiced bilabial nasal consonant,pulmonic nasal voiced long bilabial
wj_u0077u02B2,wʲ,pulmonic approximant voiced palatalized bilabial velar,wʲ,palatalized voiced labio-velar approximant consonant,pulmonic approximant voiced palatalized bilabial velar
ntsh_u006Eu0320u0074u0320u0283u02B0,n̠t̠ʃʰ,pulmonic affricate sibilant prenasalized aspirated voiceless palato-alveolar,ⁿtʃʰ,pre-nasalized aspirated voiceless post-alveolar sibilant affricate consonant,pulmonic affricate sibilant prenasalized aspirated voiceless palato-alveolar
dzj_u0064u0320u0292u02B2,d̠ʒʲ,pulmonic affricate sibilant voiced palatalized palato-alveolar retracted,dʒʲ,palatalized voiced post-alveolar sibilant affricate consonant,pulmonic affricate sibilant voiced palatalized palato-alveolar retracted
r_u0072u031Du0325,r̝̥,pulmonic trill voiceless alveolar supra high,r̝̥,raised devoiced voiced alveolar trill consonant,pulmonic trill voiceless alveolar supra high
dz_u0064u0291,dʑ,pulmonic affricate sibilant voiced palatalized palato-alveolar,dʑ,voiced alveolo-palatal sibilant affricate consonant,pulmonic affricate sibilant voiced palatalized palato-alveolar
au_u0061u0303u0289u0303,ãʉ̃,nasalized diphtong high low central unrounded rounded rising rounding,ãʉ̃,from nasalized unrounded open front to nasalized rounded close central diphthong,nasalized diphtong high low central unrounded rounded rising rounding
ns_u006Eu032Au0073u032A,n̪s̪,pulmonic fricative sibilant prenasalized voiceless dental alveolar,ⁿs̪,pre-nasalized voiceless dental sibilant fricative consonant,pulmonic fricative sibilant prenasalized voiceless dental alveolar
db_u0238,ȸ,pulmonic stop voiced labio-dental,b̪,voiced labio-dental stop consonant,pulmonic stop voiced labio-dental
b_u03B2u031E,β̞,pulmonic approximant voiced bilabial,β̞,voiced bilabial approximant consonant,pulmonic approximant voiced bilabial
d_u0064u032A,d̪,pulmonic stop voiced dental,d̪,voiced dental stop consonant,pulmonic stop voiced dental
u_u0264u02D0,ɤː,long higher mid back unrounded,ɤː,long unrounded close-mid back vowel,long higher mid back unrounded
kh_u03C7u02BC,χʼ,ejective fricative uvular,χʼ,voiceless uvular ejective fricative consonant,ejective fricative uvular
u_u0289u02D0,ʉː,long high central rounded,ʉː,long rounded close central vowel,long high central rounded
o_u0254u0324,ɔ̤,breathy voiced lower mid back rounded,ɔ̤,breathy rounded open-mid back vowel,breathy voiced lower mid back rounded
s_u0282,ʂ,pulmonic fricative sibilant voiceless retroflex,ʂ,voiceless retroflex sibilant fricative consonant,pulmonic fricative sibilant voiceless retroflex
k_u006B,k,pulmonic stop voiceless velar,k,voiceless velar stop consonant,pulmonic stop voiceless velar
l_u029F,ʟ,pulmonic approximant lateral voiced velar,ʟ,voiced velar lateral approximant consonant,pulmonic approximant lateral voiced velar
mw_u006Du02B7,mʷ,pulmonic nasal voiced labialized bilabial,mʷ,labialized voiced bilabial nasal consonant,pulmonic nasal voiced labialized bilabial
j_u0284u0325,ʄ̥,implosive stop voiceless palatal,ʄ̥,devoiced voiced palatal implosive consonant,implosive stop voiceless palatal
w_u0295u02B7,ʕʷ,pulmonic fricative voiced labialized pharyngeal,ʕʷ,labialized voiced pharyngeal fricative consonant,pulmonic fricative voiced labialized pharyngeal
tth_u0288u03B8u0323,ʈθ̣,pulmonic affricate voiceless retroflex,ʈɻ̝̊,voiceless retroflex affricate consonant,pulmonic affricate voiceless retroflex
d_u00F0,ð,pulmonic fricative voiced dental,ð,voiced dental fricative consonant,pulmonic fricative voiced dental
ae_u0061u0065,ae,diphtong higher mid low front central unrounded rising fronting,ae,from unrounded open front to unrounded close-mid front diphthong,diphtong higher mid low front central unrounded rising fronting
nr_u006Eu027A,nɺ,pulmonic tap/flap lateral prenasalized alveolar,ⁿɺ,pre-nasalized voiced alveolar lateral tap consonant,pulmonic tap/flap lateral prenasalized alveolar
s_u0283u02E4,ʃˤ,pulmonic fricative sibilant voiceless pharyngealized palato-alveolar,ʃˤ,pharyngealized voiceless post-alveolar sibilant fricative consonant,pulmonic fricative sibilant voiceless pharyngealized palato-alveolar
a_u0252u0303u02D0,ɒ̃ː,nasalized long low back rounded,ɒ̃ː,long nasalized rounded open back vowel,nasalized long low back rounded
u_u0075u0259,uə,diphtong high higher mid central back unrounded rounded lowering fronting unrounding,uə,from rounded close back to unrounded mid central diphthong,diphtong high higher mid central back unrounded rounded lowering fronting unrounding
_u0259u02D0,əː,long unspecified mid central unrounded,əː,long unrounded mid central vowel,long unspecified mid central unrounded
kjh_u006Bu02B2u02B0,kʲʰ,pulmonic stop aspirated voiceless palatalized velar,kʲʰ,palatalized aspirated voiceless velar stop consonant,pulmonic stop aspirated voiceless palatalized velar
rrj_u0072u0072u02B2,rrʲ,pulmonic unspecified rhotic voiced palatalized unspecified coronal place,rʲː,palatalized long voiced alveolar trill consonant,pulmonic unspecified rhotic voiced palatalized unspecified coronal place
pf_u0070u0278,pɸ,pulmonic affricate voiceless bilabial,pɸ,voiceless bilabial affricate consonant,pulmonic affricate voiceless bilabial
dz_u0064u0320u0292,d̠ʒ,pulmonic affricate sibilant voiced palato-alveolar,dʒ,voiced post-alveolar sibilant affricate consonant,pulmonic affricate sibilant voiced palato-alveolar
j_u006Au0330,j̰,pulmonic approximant voiced laryngealized palatal,j̰,creaky voiced palatal approximant consonant,pulmonic approximant voiced laryngealized palatal
o_u00F8u0306,ø̆,overshort higher mid front rounded,ø̆,ultra-short rounded close-mid front vowel,overshort higher mid front rounded
p_u0070u0330,p̰,pulmonic stop voiceless laryngealized bilabial,p̰,creaky voiceless bilabial stop consonant,pulmonic stop voiceless laryngealized bilabial
ii_u0069u0069u0325,ii̥,voiceless diphtong high front unrounded,i̥ː,long devoiced unrounded close front vowel,voiceless diphtong high front unrounded
mp_u006Du0070,mp,pulmonic stop prenasalized voiceless bilabial,ⁿp,pre-nasalized voiceless bilabial stop consonant,pulmonic stop prenasalized voiceless bilabial
ua_u0075u0061,ua,diphtong high low central back unrounded rounded lowering fronting unrounding,ua,from rounded close back to unrounded open front diphthong,diphtong high low central back unrounded rounded lowering fronting unrounding
ai_u0061u02D0u0268,aːɨ,long diphtong high low central unrounded rising,aːɨ,from long unrounded open front to unrounded close central diphthong,long diphtong high low central unrounded rising
j_u025F,ɟ,pulmonic stop voiced palatal,ɟ,voiced palatal stop consonant,pulmonic stop voiced palatal
oi_u0254u026A,ɔɪ,diphtong lowered high lower mid front back unrounded rounded rising fronting unrounding,ɔɪ,from rounded open-mid back to unrounded near-close near-front diphthong,diphtong lowered high lower mid front back unrounded rounded rising fronting unrounding
s_u0073u0330u032A,s̰̪,pulmonic fricative sibilant voiceless laryngealized dental,s̪̰,creaky voiceless dental sibilant fricative consonant,pulmonic fricative sibilant voiceless laryngealized dental
j_u025Fu0330,ɟ̰,pulmonic stop voiced laryngealized palatal,ɟ̰,creaky voiced palatal stop consonant,pulmonic stop voiced laryngealized palatal
u_u0289u0303u02D0,ʉ̃ː,nasalized long high central rounded,ʉ̃ː,long nasalized rounded close central vowel,nasalized long high central rounded
bj_u0062u02B2,bʲ,pulmonic stop voiced palatalized bilabial,bʲ,palatalized voiced bilabial stop consonant,pulmonic stop voiced palatalized bilabial
s_u0283u032B,ʃ̫,pulmonic fricative sibilant voiceless palato-alveolar whistled,ʃ̫,voiceless post-alveolar whistled-sibilant fricative consonant,pulmonic fricative sibilant voiceless palato-alveolar whistled
e_u025Bu02D0,ɛː,long lower mid front unrounded,ɛː,long unrounded open-mid front vowel,long lower mid front unrounded
ts_u0074u0330u0073u0330,t̰s̰,pulmonic affricate sibilant voiceless laryngealized alveolar,ts̰,creaky voiceless alveolar sibilant affricate consonant,pulmonic affricate sibilant voiceless laryngealized alveolar
tswh_u0074u0320u0283u02B7u02B0,t̠ʃʷʰ,pulmonic affricate sibilant aspirated voiceless labialized palato-alveolar,tʃʷʰ,labialized aspirated voiceless post-alveolar sibilant affricate consonant,pulmonic affricate sibilant aspirated voiceless labialized palato-alveolar
tsh_u0074u0320u0283u02B0,t̠ʃʰ,pulmonic affricate sibilant aspirated voiceless palato-alveolar,tʃʰ,aspirated voiceless post-alveolar sibilant affricate consonant,pulmonic affricate sibilant aspirated voiceless palato-alveolar
ndj_u006Eu0320u0064u0320u02B2,n̠d̠ʲ,pulmonic stop prenasalized voiced palatalized palato-alveolar,ⁿd̠ʲ,retracted pre-nasalized palatalized voiced alveolar stop consonant,pulmonic stop prenasalized voiced palatalized palato-alveolar
bv_u0062u0076,bv,pulmonic affricate voiced bilabial labio-dental,bv,voiced labio-dental affricate consonant,pulmonic affricate voiced bilabial labio-dental
dz_u0064u0320u0292u0324,d̠ʒ̤,pulmonic affricate sibilant voiced breathy voiced palato-alveolar retracted,dʒʱ,breathy voiced post-alveolar sibilant affricate consonant,pulmonic affricate sibilant voiced breathy voiced palato-alveolar retracted
y_u028E,ʎ,pulmonic approximant lateral voiced palatal,ʎ,voiced palatal lateral approximant consonant,pulmonic approximant lateral voiced palatal
_u1D91u0325,ᶑ̥,implosive stop voiceless retroflex,ᶑ̥,devoiced voiced retroflex implosive consonant,implosive stop voiceless retroflex
ae_u00E6u02D0,æː,long raised low front unrounded,æː,long unrounded near-open front vowel,long raised low front unrounded
ui_u028Au0069,ʊi,diphtong high lowered high front back unrounded rounded rising fronting unrounding,ʊi,from rounded near-close near-back to unrounded close front diphthong,diphtong high lowered high front back unrounded rounded rising fronting unrounding
u_u028Au0303,ʊ̃,nasalized lowered high back rounded,ʊ̃,nasalized rounded near-close near-back vowel,nasalized lowered high back rounded
ndj_u006Eu0064u02B2,ndʲ,pulmonic stop prenasalized voiced palatalized alveolar,ⁿdʲ,pre-nasalized palatalized voiced alveolar stop consonant,pulmonic stop prenasalized voiced palatalized alveolar
q_u0071u02BC,qʼ,ejective stop uvular,qʼ,voiceless uvular ejective stop consonant,ejective stop uvular
b_u03B2,β,pulmonic fricative voiced bilabial,β,voiced bilabial fricative consonant,pulmonic fricative voiced bilabial
r_u027Du0324,ɽ̤,pulmonic tap/flap breathy voiced retroflex,ɽʱ,breathy voiced retroflex tap consonant,pulmonic tap/flap breathy voiced retroflex
rw_u0281u02B7,ʁʷ,pulmonic fricative voiced labialized uvular,ʁʷ,labialized voiced uvular fricative consonant,pulmonic fricative voiced labialized uvular
uo_u0075u006F,uo,diphtong high higher mid back rounded lowering,uo,from rounded close back to rounded close-mid back diphthong,diphtong high higher mid back rounded lowering
c_u0063,c,pulmonic stop voiceless palatal,c,voiceless palatal stop consonant,pulmonic stop voiceless palatal
e_u025Bu0325,ɛ̥,voiceless lower mid front unrounded,ɛ̥,devoiced unrounded open-mid front vowel,voiceless lower mid front unrounded
d_u0256u02D0,ɖː,pulmonic stop voiced long retroflex,ɖː,long voiced retroflex stop consonant,pulmonic stop voiced long retroflex
k_u006Bu02D0,kː,pulmonic stop voiceless long velar,kː,long voiceless velar stop consonant,pulmonic stop voiceless long velar
e_u025Bu0330,ɛ̰,laryngealized lower mid front unrounded,ɛ̰,creaky unrounded open-mid front vowel,laryngealized lower mid front unrounded
ea_u0065u0061,ea,diphtong higher mid low front central unrounded lowering backing,ea,from unrounded close-mid front to unrounded open front diphthong,diphtong higher mid low front central unrounded lowering backing
s_u0073u02BC,sʼ,ejective fricative sibilant alveolar,sʼ,voiceless alveolar ejective sibilant fricative consonant,ejective fricative sibilant alveolar
f_u0278u02BC,ɸʼ,ejective fricative bilabial,ɸʼ,voiceless bilabial ejective fricative consonant,ejective fricative bilabial
t_u0074u032Au02E4,t̪ˤ,pulmonic stop voiceless pharyngealized dental,t̪ˤ,pharyngealized voiceless dental stop consonant,pulmonic stop voiceless pharyngealized dental
w_u0077u0330,w̰,pulmonic approximant voiced laryngealized bilabial velar,w̰,creaky voiced labio-velar approximant consonant,pulmonic approximant voiced laryngealized bilabial velar
nts_u006Eu0074u0073,nts,pulmonic affricate sibilant prenasalized voiceless unspecified coronal place,ⁿts,pre-nasalized voiceless alveolar sibilant affricate consonant,pulmonic affricate sibilant prenasalized voiceless unspecified coronal place
hts_u02B0u0074u0073,ʰts,pulmonic affricate sibilant pre-aspirated voiceless alveolar,ʰts,pre-aspirated voiceless alveolar sibilant affricate consonant,pulmonic affricate sibilant pre-aspirated voiceless alveolar
ii_u0268u0069,ɨi,diphtong high front central unrounded fronting,ɨi,from unrounded close central to unrounded close front diphthong,diphtong high front central unrounded fronting
tx_u0074u0078,tx,pulmonic affricate voiceless alveolar velar,tʶ,with-uvular-release voiceless alveolar stop consonant,pulmonic affricate voiceless alveolar velar
tch_u0074u0320u0255u02B0,t̠ɕʰ,pulmonic affricate sibilant aspirated voiceless palatalized palato-alveolar,tɕʰ,aspirated voiceless alveolo-palatal sibilant affricate consonant,pulmonic affricate sibilant aspirated voiceless palatalized palato-alveolar
kng_u006Bu014B,kŋ,pulmonic stop voiceless velar nasal release,kⁿ,with-nasal-release voiceless velar stop consonant,pulmonic stop voiceless velar nasal release
u_u0075u0303u02D0,ũː,nasalized long high back rounded,ũː,long nasalized rounded close back vowel,nasalized long high back rounded
oo_u00F8u00F8u0325,øø̥,voiceless diphtong higher mid front rounded,ø̥ː,long devoiced rounded close-mid front vowel,voiceless diphtong higher mid front rounded
y_u0079,y,high front rounded,y,rounded close front vowel,high front rounded
nt_u006Eu032Au0074u032A,n̪t̪,pulmonic stop prenasalized voiceless dental,ⁿt̪,pre-nasalized voiceless dental stop consonant,pulmonic stop prenasalized voiceless dental
nmtpj_u006Eu0320u006Du0074u0320u0070u02B2,n̠mt̠pʲ,pulmonic stop prenasalized voiceless palatalized bilabial palato-alveolar,ⁿt̠pʲ,from retracted pre-nasalized voiceless alveolar stop to palatalized voiceless bilabial stop cluster,pulmonic stop prenasalized voiceless palatalized bilabial palato-alveolar
i_u0268u0325,ɨ̥,voiceless high central unrounded,ɨ̥,devoiced unrounded close central vowel,voiceless high central unrounded
h_u0068,h,pulmonic fricative voiceless glottal,h,voiceless glottal fricative consonant,pulmonic fricative voiceless glottal
i_u0069u031D,i̝,supra high front unrounded,i̝,raised unrounded close front vowel,supra high front unrounded
s_u0283u02BC,ʃʼ,ejective fricative sibilant palato-alveolar,ʃʼ,voiceless post-alveolar ejective sibilant fricative consonant,ejective fricative sibilant palato-alveolar
o_u0254u0306,ɔ̆,overshort lower mid back rounded,ɔ̆,ultra-short rounded open-mid back vowel,overshort lower mid back rounded
ndr_u0273u0256u027D,ɳɖɽ,pulmonic stop prenasalized trilled release voiced retroflex,ⁿɖʳ,pre-nasalized with-trilled-release voiced retroflex stop consonant,pulmonic stop prenasalized trilled release voiced retroflex
zw_u007Au02B7,zʷ,pulmonic fricative sibilant voiced labialized alveolar,zʷ,labialized voiced alveolar sibilant fricative consonant,pulmonic fricative sibilant voiced labialized alveolar
_u0295,ʕ,pulmonic fricative voiced pharyngeal,ʕ,voiced pharyngeal fricative consonant,pulmonic fricative voiced pharyngeal
oi_u006Fu0268,oɨ,diphtong high higher mid central back unrounded rounded rising fronting unrounding,oɨ,from rounded close-mid back to unrounded close central diphthong,diphtong high higher mid central back unrounded rounded rising fronting unrounding
oey_u0153u0079,œy,diphtong high lower mid front rounded rising,œy,from rounded open-mid front to rounded close front diphthong,diphtong high lower mid front rounded rising
u_u0075u0330,ṵ,laryngealized high back rounded,ṵ,creaky rounded close back vowel,laryngealized high back rounded
o_u0275,ɵ,unspecified mid central rounded,ɵ,rounded close-mid central vowel,unspecified mid central rounded
fw_u0278u02B7,ɸʷ,pulmonic fricative voiceless labialized bilabial,ɸʷ,labialized voiceless bilabial fricative consonant,pulmonic fricative voiceless labialized bilabial
nt_u006Eu0320u0074u0320,n̠t̠,pulmonic stop prenasalized voiceless palato-alveolar,ⁿt̠,retracted pre-nasalized voiceless alveolar stop consonant,pulmonic stop prenasalized voiceless palato-alveolar
yy_u0079u0079u0325,yy̥,voiceless diphtong high front rounded,y̥ː,long devoiced rounded close front vowel,voiceless diphtong high front rounded
th_u0074u02B0,tʰ,pulmonic stop aspirated voiceless unspecified coronal place,tʰ,aspirated voiceless alveolar stop consonant,pulmonic stop aspirated voiceless unspecified coronal place
dz_u0064u032Au007Au032A,d̪z̪,pulmonic affricate sibilant voiced dental,dz̪,voiced dental sibilant affricate consonant,pulmonic affricate sibilant voiced dental
tn_u0074u0320u006Eu0320,t̠n̠,pulmonic stop voiceless palato-alveolar nasal release,t̠ⁿ,with-nasal-release voiceless post-alveolar stop consonant,pulmonic stop voiceless palato-alveolar nasal release
ndr_u006Eu0064u0072,ndr,pulmonic stop prenasalized trilled release voiced alveolar,ⁿdʳ,pre-nasalized with-trilled-release voiced alveolar stop consonant,pulmonic stop prenasalized trilled release voiced alveolar
kh_u03C7u02D0,χː,pulmonic fricative voiceless long uvular,χː,long voiceless uvular fricative consonant,pulmonic fricative voiceless long uvular
u_u0075u0330u0259u0330,ṵə̰,laryngealized diphtong high higher mid central back unrounded rounded lowering fronting unrounding,ṵə̰,from creaky rounded close back to creaky unrounded mid central diphthong,laryngealized diphtong high higher mid central back unrounded rounded lowering fronting unrounding
y_u0265,ɥ,pulmonic approximant voiced bilabial palatal,ɥ,voiced labio-palatal approximant consonant,pulmonic approximant voiced bilabial palatal
r_u027B,ɻ,pulmonic approximant voiced retroflex,ɻ,voiced retroflex approximant consonant,pulmonic approximant voiced retroflex
ng_u014Bu0330,ŋ̰,pulmonic nasal voiced laryngealized velar,ŋ̰,creaky voiced velar nasal consonant,pulmonic nasal voiced laryngealized velar
r_u0281,ʁ,pulmonic fricative voiced uvular,ʁ,voiced uvular fricative consonant,pulmonic fricative voiced uvular
dl_u0064u006C,dl,pulmonic stop approximant lateral voiced alveolar,dˡ,with-lateral-release voiced alveolar stop consonant,pulmonic stop approximant lateral voiced alveolar
o_u006Fu0306,ŏ,overshort higher mid back rounded,ŏ,ultra-short rounded close-mid back vowel,overshort higher mid back rounded
ng_u014Bu0325,ŋ̥,pulmonic nasal voiceless velar,ŋ̊,devoiced voiced velar nasal consonant,pulmonic nasal voiceless velar
tsw_u0074u0073u02B7,tsʷ,pulmonic affricate sibilant voiceless labialized alveolar,tsʷ,labialized voiceless alveolar sibilant affricate consonant,pulmonic affricate sibilant voiceless labialized alveolar
v_u0076u0324,v̤,pulmonic fricative breathy voiced labio-dental,vʱ,breathy voiced labio-dental fricative consonant,pulmonic fricative breathy voiced labio-dental
twh_u0074u032Au02B7u02B0,t̪ʷʰ,pulmonic stop aspirated voiceless labialized dental,t̪ʷʰ,labialized aspirated voiceless dental stop consonant,pulmonic stop aspirated voiceless labialized dental
sg_u0073u02E0,sˠ,pulmonic fricative sibilant voiceless velarized alveolar,sˠ,velarized voiceless alveolar sibilant fricative consonant,pulmonic fricative sibilant voiceless velarized alveolar
iu_u0069u0264,iɤ,diphtong high higher mid front back unrounded lowering backing,iɤ,from unrounded close front to unrounded close-mid back diphthong,diphtong high higher mid front back unrounded lowering backing
u_u0075u0325,u̥,voiceless high back rounded,u̥,devoiced rounded close back vowel,voiceless high back rounded
i_u0259u0268,əɨ,diphtong high higher mid central unrounded rising,əɨ,from unrounded mid central to unrounded close central diphthong,diphtong high higher mid central unrounded rising
a_u0251u0303u02D0,ɑ̃ː,nasalized long low back unrounded,ɑ̃ː,long nasalized unrounded open back vowel,nasalized long low back unrounded
w_u028D,ʍ,pulmonic approximant voiceless bilabial velar,ʍ,voiceless labio-velar approximant consonant,pulmonic approximant voiceless bilabial velar
ng_u014Bu0325u01C2u0294,ŋ̥ǂʔ,click stop nasal voiceless palatal velar glottal,ⁿǂˀ,pre-nasalized glottalized voiceless palatal click consonant,click stop nasal voiceless palatal velar glottal
pj_u0070u02B2,pʲ,pulmonic stop voiceless palatalized bilabial,pʲ,palatalized voiceless bilabial stop consonant,pulmonic stop voiceless palatalized bilabial
i_u0268u0303,ɨ̃,nasalized high central unrounded,ɨ̃,nasalized unrounded close central vowel,nasalized high central unrounded
l_u006Cu0320,l̠,pulmonic approximant lateral voiced palato-alveolar,l̠,voiced post-alveolar lateral approximant consonant,pulmonic approximant lateral voiced palato-alveolar
r_u027Eu0324,ɾ̤,pulmonic tap/flap breathy voiced alveolar,ɾʱ,breathy voiced alveolar tap consonant,pulmonic tap/flap breathy voiced alveolar
ts_u0074u0320u0283u032B,t̠ʃ̫,pulmonic affricate sibilant voiceless palato-alveolar retracted whistled,t̠ʃ̫,voiceless post-alveolar whistled-sibilant affricate consonant,pulmonic affricate sibilant voiceless palato-alveolar retracted whistled
w_u0077u0303,w̃,pulmonic approximant nasalized voiced bilabial velar,w̃,nasalized voiced labio-velar approximant consonant,pulmonic approximant nasalized voiced bilabial velar
nmj_u006Eu0320u006Du02B2,n̠mʲ,pulmonic nasal voiced palatalized bilabial palato-alveolar,ⁿmʲ,pre-nasalized palatalized voiced bilabial nasal consonant,pulmonic nasal voiced palatalized bilabial palato-alveolar
dn_u0064u006E,dn,pulmonic stop voiced alveolar,dⁿ,with-nasal-release voiced alveolar stop consonant,pulmonic stop voiced alveolar
ng_u014Bu0325u01C1u0294,ŋ̥ǁʔ,click stop nasal lateral voiceless alveolar velar glottal,ⁿǁˀ,pre-nasalized glottalized voiceless alveolar lateral click consonant,click stop nasal lateral voiceless alveolar velar glottal
w_u026Fu0303,ɯ̃,nasalized high back unrounded,ɯ̃,nasalized unrounded close back vowel,nasalized high back unrounded
ngkj_u014Bu006Bu02B2,ŋkʲ,pulmonic stop prenasalized voiceless palatalized velar,ⁿkʲ,pre-nasalized palatalized voiceless velar stop consonant,pulmonic stop prenasalized voiceless palatalized velar
t_u0288,ʈ,pulmonic stop voiceless retroflex,ʈ,voiceless retroflex stop consonant,pulmonic stop voiceless retroflex
r_u027Eu02E4,ɾˤ,pulmonic tap/flap voiced pharyngealized alveolar,ɾˤ,pharyngealized voiced alveolar tap consonant,pulmonic tap/flap voiced pharyngealized alveolar
nj_u0272u025F,ɲɟ,pulmonic stop prenasalized voiced palatal,ⁿɟ,pre-nasalized voiced palatal stop consonant,pulmonic stop prenasalized voiced palatal
n_u006Eu032Au0324,n̪̤,pulmonic nasal breathy voiced dental,n̪ʱ,breathy voiced dental nasal consonant,pulmonic nasal breathy voiced dental
kwh_u006Bu02B7u02B0,kʷʰ,pulmonic stop aspirated voiceless labialized velar,kʷʰ,labialized aspirated voiceless velar stop consonant,pulmonic stop aspirated voiceless labialized velar
ai_u0061u0330u0303u0069u0330u0303,ã̰ḭ̃,nasalized laryngealized diphtong high low front central unrounded rising fronting,ã̰ḭ̃,from nasalized creaky unrounded open front to nasalized creaky unrounded close front diphthong,nasalized laryngealized diphtong high low front central unrounded rising fronting
io_u0069u006F,io,diphtong high higher mid front back unrounded rounded lowering backing rounding,io,from unrounded close front to rounded close-mid back diphthong,diphtong high higher mid front back unrounded rounded lowering backing rounding
ng_u014Bu01C2,ŋǂ,click nasal voiced palatal velar,ŋǂ,voiced palatal nasal-click consonant,click nasal voiced palatal velar
rg_u027Eu02E0,ɾˠ,pulmonic tap/flap voiced velarized alveolar,ɾˠ,velarized voiced alveolar tap consonant,pulmonic tap/flap voiced velarized alveolar
a_u0251u0303,ɑ̃,nasalized low back unrounded,ɑ̃,nasalized unrounded open back vowel,nasalized low back unrounded
s_u0073,s,pulmonic fricative sibilant voiceless unspecified coronal place,s,voiceless alveolar sibilant fricative consonant,pulmonic fricative sibilant voiceless unspecified coronal place
w_u0077,w,pulmonic approximant voiced bilabial velar,w,voiced labio-velar approximant consonant,pulmonic approximant voiced bilabial velar
tw_u0074u032Au02B7,t̪ʷ,pulmonic stop voiceless labialized dental,t̪ʷ,labialized voiceless dental stop consonant,pulmonic stop voiceless labialized dental
tl_u0074u026Cu02BC,tɬʼ,ejective affricate lateral alveolar,tɬʼ,voiceless alveolar ejective lateral affricate consonant,ejective affricate lateral alveolar
ndz_u006Eu032Au0064u032Au007Au032A,n̪d̪z̪,pulmonic affricate sibilant prenasalized voiced dental,ⁿdz̪,pre-nasalized voiced dental sibilant affricate consonant,pulmonic affricate sibilant prenasalized voiced dental
n_u0273u0325,ɳ̥,pulmonic nasal voiceless retroflex,ɳ̊,devoiced voiced retroflex nasal consonant,pulmonic nasal voiceless retroflex
z_u0292,ʒ,pulmonic fricative sibilant voiced palato-alveolar,ʒ,voiced post-alveolar sibilant fricative consonant,pulmonic fricative sibilant voiced palato-alveolar
