ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Glottolog_Name
hixkaryana_hixk1239,Hixkaryana,South America,-0.16265,-58.80153,hixk1239,,Cariban,Hixkaryána
manange_cent1394,Manange,Eurasia,25.60046,106.39604,cent1394,,Hmong-Mien,Central Mashan Hmong
hamtai_hamt1247,Hamtai,Papunesia,-7.54975,146.227,hamt1247,,Angan,Hamtai
mongnjua_hmon1264,Mong Njua,Eurasia,22.5638,101.95,hmon1264,,Hmong-Mien,Hmong Njua
hopi_hopi1249,Hopi,North America,35.7653,-110.535,hopi1249,,Uto-Aztecan,Hopi
hobyot_hote1245,Hobyot,Papunesia,-7.07708,146.869,hote1245,,Austronesian,Hote
sorbianupperdialect_uppe1395,"Sorbian, Upper dialect",Eurasia,51.2403,14.4098,uppe1395,,Indo-European,Upper Sorbian
huambisa_huam1247,Huambisa,South America,-3.99109,-77.9797,huam1247,,Chicham,Huambisa
hungarian_hung1274,Hungarian,Eurasia,46.9068585714,19.6555271429,hung1274,,Uralic,Hungarian
hupa_hupa1239,Hupa,North America,41.0982,-123.68,hupa1239,,Athabaskan-Eyak-Tlingit,Hupa-Chilula
huastec_huas1242,Huastec,North America,21.6153,-98.5028,huas1242,,Mayan,Huastec
witotomuruidialect_muru1274,"Witoto, Murui dialect",South America,-1.13669,-73.8331,muru1274,,Huitotoan,Murui Huitoto
hunzib_hunz1247,Hunzib,Eurasia,42.0808,46.1369,hunz1247,,Nakh-Daghestanian,Hunzib
havu_sabu1255,Havu,Papunesia,-10.5522,121.847,sabu1255,,Austronesian,Hawu
armenianeastern_nucl1235,"Armenian, Eastern",Eurasia,40.0,45.0,nucl1235,,Indo-European,Eastern Armenian
iaai_iaai1238,Iaai,Papunesia,-20.6301,166.59,iaai1238,,Austronesian,Iaai
iban_iban1264,Iban,Papunesia,2.09041,112.934,iban1264,,Austronesian,Iban
igbo_nucl1417,Igbo,Africa,4.62705,7.23441,nucl1417,,Atlantic-Congo,Igbo
moxo_igna1246,Moxo,South America,-15.1188,-65.3993,igna1246,,Arawakan,Ignaciano
ik_ikkk1242,Ik,Africa,3.61407,34.2507,ikkk1242,,Kuliak,Ik
imonda_imon1245,Imonda,Papunesia,-3.31228,141.171,imon1245,,Border,Imonda
inga_inga1252,Inga,South America,1.00313,-76.8606,inga1252,,Quechuan,Colombian Inga
indonesian_indo1316,Indonesian,Papunesia,-7.33458,109.716,indo1316,,Austronesian,Indonesian
ingush_ingu1240,Ingush,Eurasia,43.11,45.03,ingu1240,,Nakh-Daghestanian,Ingush
inapari_inap1243,Iñapari,South America,-12.4653,-69.3083,inap1243,,Arawakan,Modern Iñapari
irantxe_iran1263,Irantxe,South America,-12.7178,-57.9806,iran1263,,,Irántxe-Münkü
isokouzeredialect_uzer1238,"Isoko, Uzere dialect",Africa,,,uzer1238,,Atlantic-Congo,Uzere
italian_ital1282,Italian,Eurasia,43.0464,12.6489,ital1282,,Indo-European,Italian
itonama_iton1250,Itonama,South America,-12.80431,-64.35748,iton1250,,,Itonama
iwammayriver_iwam1256,"Iwam, May River",Papunesia,-4.27346,141.817,iwam1256,,Sepik,Iwam
madibrazilbanawadialect_bana1307,"Madi (Brazil), Banawa dialect",South America,,,bana1307,,Arawan,Banawa
jacalteceastern_popt1235,"Jacaltec, Eastern",North America,15.6609,-91.6633,popt1235,,Mayan,Popti'
yabem_yabe1254,Yabem,Papunesia,-6.67052,147.81,yabe1254,,Austronesian,Yabem
yanyuwa_yany1243,Yanyuwa,Australia,-15.7621,136.055,yany1243,,Pama-Nyungan,Yanyuwa
jebero_jebe1250,Jebero,South America,-5.40317,-76.4103,jebe1250,,Cahuapanan,Jebero
tol_toll1241,Tol,North America,14.6686,-87.0372,toll1241,,Jicaquean,Tol
jingulu_djin1251,Jingulu,Australia,-17.165,133.659,djin1251,,Mirndi,Jingulu
japanese_nucl1643,Japanese,Eurasia,35.0,135.0,nucl1643,,Japonic,Japanese
japreria_japr1238,Japreria,South America,10.5523,-72.7101,japr1238,,Cariban,Japrería
juma_juma1249,Júma,South America,-7.27501,-64.0998,juma1249,,Tupian,Júma
westgreenlandicinuktitut_kala1399,West Greenlandic Inuktitut,North America,69.3761,-52.864,kala1399,,Eskimo-Aleut,Kalaallisut
kannada_nucl1305,Kannada,Eurasia,13.5878,76.1198,nucl1305,,Dravidian,Kannada
kashmiri_kash1277,Kashmiri,Eurasia,34.166825,74.330455,kash1277,,Indo-European,Kashmiri
georgian_nucl1302,Georgian,Eurasia,41.850397,43.78613,nucl1302,,Kartvelian,Georgian
camsa_cams1241,Camsa,South America,1.14537,-76.8931,cams1241,,,Camsá
koiari_gras1249,Koiari,Papunesia,-9.51218,147.437,gras1249,,Koiarian,Grass Koiari
kafa_kafa1242,Kafa,Africa,7.34022,36.1718,kafa1242,,Ta-Ne-Omotic,Kafa
dlamenggwadialect_meng1271,"Dla, Menggwa dialect",Papunesia,,,meng1271,,Senagi,Mengau
khantynorthern_khan1273,"Khanty, Northern",Eurasia,62.4308,66.1218,khan1273,,Uralic,Kazym-Berezover-Suryskarer Khanty
capeverdecreolesantiagodialect_kabu1256,"Cape Verde Creole, Santiago dialect",Africa,15.0586,-23.6148,kabu1256,,Indo-European,Kabuverdianu
kekchi_kekc1242,K'ekchi,North America,15.3788,-89.2452,kekc1242,,Mayan,Kekchí
kera_kera1255,Kera,Africa,9.88165,15.1419,kera1255,,Afro-Asiatic,Kera
kewawestern_west2599,"Kewa, Western",Papunesia,-6.32097,143.73,west2599,,Nuclear Trans New Guinea,West Kewa
kotaindia_kota1263,Kota (India),Eurasia,11.4978,76.9387,kota1263,,Dravidian,Kota (India)
koya_koya1251,Koya,Eurasia,17.6772,81.2096,koya1251,,Dravidian,Koya
koromfe_koro1298,Koromfe,Africa,14.046,-1.96187,koro1298,,Atlantic-Congo,Koromfé
krongo_kron1241,Krongo,Africa,10.514,30.003,kron1241,,Kadugli-Krongo,Krongo
abun_abun1252,Abun,Papunesia,-0.57073,132.416,abun1252,,,Abun
khasi_khas1269,Khasi,Eurasia,24.977,91.9998,khas1269,,Austroasiatic,Khasi
ly_luuu1242,Ly,Eurasia,21.0321,101.282,luuu1242,,Tai-Kadai,Lü
tukangbesiwancinortherndialect_tuka1248,"Tukang Besi, Wanci (Northern) dialect",Papunesia,-5.30994,123.578,tuka1248,,Austronesian,Tukang Besi North
khalkha_halh1238,Khalkha,Eurasia,48.324,106.289,halh1238,,Mongolic-Khitan,Halh Mongolian
kaliai_lusi1240,Kaliai,Papunesia,-5.55033,149.148,lusi1240,,Austronesian,Lusi
songhaykoyrachiinidialect_koyr1240,"Songhay, Koyra Chiini dialect",Africa,16.192,-3.73962,koyr1240,,Songhay,Koyra Chiini Songhay
khariadudh_khar1287,"Kharia, Dudh",Eurasia,22.3571,84.3922,khar1287,,Austroasiatic,Kharia
kickapoo_kick1244,Kickapoo,North America,41.655145,-89.03034,kick1244,,Algic,Kickapoo
kilivila_kili1267,Kilivila,Papunesia,-8.72574,151.072,kili1267,,Austronesian,Kilivila
kiowa_kiow1266,Kiowa,North America,34.9403,-98.9042,kiow1266,,Kiowa-Tanoan,Kiowa
kyrgyz_kirg1245,Kyrgyz,Eurasia,42.0,74.0,kirg1245,,Turkic,Kirghiz
southernkiwaiislanddialect_sout2949,"Southern Kiwai, Island dialect",Papunesia,-8.64889,143.244,sout2949,,Kiwaian,Southern Kiwai
khakas_khak1248,Khakas,Eurasia,50.7393,107.169,khak1248,,Turkic,Khakas
khamtakaledialect_taka1261,"Kham, Takale dialect",Eurasia,,,taka1261,,Sino-Tibetan,Takale
westernkeres_west2632,Western Keres,North America,34.9733,-107.517,west2632,,Keresan,Western Keres
kokota_koko1269,Kokota,Papunesia,-8.16481,159.191,koko1269,,Austronesian,Kokota
tekekukuyadialect_teke1280,"Teke, Kukuya dialect",Africa,-2.27122,14.4407,teke1280,,Atlantic-Congo,Teke-Kukuya
klamath_klam1254,Klamath,North America,42.5861,-121.704,klam1254,,,Klamath-Modoc
rumu_rumu1243,Rumu,Papunesia,-7.17149,144.179,rumu1243,,Turama-Kikori,Rumu
kwoma_kwom1262,Kwoma,Papunesia,-4.08721,142.664,kwom1262,,Sepik,Kwoma
kanakuru_dera1248,Kanakuru,Africa,10.072,12.0256,dera1248,,Afro-Asiatic,Dera (Nigeria)
kanuri_cent2050,Kanuri,Africa,11.8,13.13,cent2050,,Saharan,Central Kanuri
konkani_konk1267,Konkani,Eurasia,18.404,73.994,konk1267,,Indo-European,Konkan Marathi
kogi_cogu1240,Kogi,South America,10.9485,-73.8043,cogu1240,,Chibchan,Cogui
korean_kore1280,Korean,Eurasia,37.5,128.0,kore1280,,Koreanic,Korean
kpan_kpan1246,Kpan,Africa,7.58343,10.1642,kpan1246,,Atlantic-Congo,Kpan
sre_koho1244,Sre,Eurasia,11.6444,108.057,koho1244,,Austroasiatic,Koho
kobon_kobo1249,Kobon,Papunesia,-5.16446,144.46,kobo1249,,Nuclear Trans New Guinea,Kobon
koryak_kory1246,Koryak,Eurasia,63.8977,166.695,kory1246,,Chukotko-Kamchatkan,Koryak
karachaybalkarkarachaydialect_kara1466,"Karachay-Balkar, Karachay dialect",Eurasia,,,kara1466,,Turkic,Karachay
kurukh_kuru1302,Kurukh,Eurasia,24.4644,86.4657,kuru1302,,Dravidian,Kurukh
isaka_kris1246,I'saka,Papunesia,-2.80084,141.303,kris1246,,Sko,I'saka
kisisoutherndialect_sout2778,"Kisi, Southern dialect",Africa,8.32448,-10.3377,sout2778,,Atlantic-Congo,Southern Kisi
