ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Marginal,Catalog,Contribution_ID
180,kamang_kama1365,BIPA_a_u0061u031F,a̟,,,,false,lapsyd,kamang
183,bukiyip_buki1249,BIPA_b_u0062,b,,,,false,lapsyd,bukiyip
184,bambara_bamb1269,BIPA_m_u006D,m,,,,false,lapsyd,bambara
185,hungarian_hung1274,BIPA_s_u0283,ʃ,,,,false,lapsyd,hungarian
186,papiamentu_papi1253,BIPA_j_u006A,j,,,,false,lapsyd,papiamentu
187,yine_yine1238,BIPA_s_u0073,s,,,,false,lapsyd,yine
188,paez_paez1247,BIPA_w_u0077,w,,,,false,lapsyd,paez
189,ayoreo_ayor1240,BIPA_ng_u014B,ŋ,,,,false,lapsyd,ayoreo
190,maka_maca1260,BIPA_x_u0078,x,,,,false,lapsyd,maka
191,ache_ache1246,BIPA_u_u0169,ũ,,,,false,lapsyd,ache
192,aghem_aghe1239,BIPA_gb_u0261u0062,ɡb,,,,false,lapsyd,aghem
193,alabama_alab1237,BIPA_m_u006D,m,,,,false,lapsyd,alabama
194,havu_sabu1255,BIPA_e_u0065,e,,,,false,lapsyd,havu
195,sedang_seda1262,BIPA_k_u006B,k,,,,false,lapsyd,sedang
197,khalkha_halh1238,BIPA_j_u006A,j,,,,false,lapsyd,khalkha
198,rapanui_rapa1244,BIPA_i_u0069,i,,,,false,lapsyd,rapanui
199,german_stan1295,BIPA_y_u028F,ʏ,,,,false,lapsyd,german
200,mutsun_sout2986,BIPA_o_u0254,ɔ,,,,false,lapsyd,mutsun
201,sandawe_sand1273,BIPA_ph_u0070u02B0,pʰ,,,,false,lapsyd,sandawe
202,pacoh_paco1243,BIPA_r_u0072,r,,,,false,lapsyd,pacoh
203,tampulma_tamp1252,BIPA_o_u0254,ɔ,,,,false,lapsyd,tampulma
204,capeverdecreolesantiagodialect_kabu1256,BIPA_ng_u014B,ŋ,,,,false,lapsyd,capeverdecreolesantiagodialect
205,karuk_karo1304,BIPA__u0294,ʔ,,,,false,lapsyd,karuk
206,madisouthernlokaidialect_loka1255,BIPA_m_u006D,m,,,,false,lapsyd,madisouthernlokaidialect
207,tuva_tuvi1240,BIPA_n_u006Eu032A,n̪,,,,false,lapsyd,tuva
208,movima_movi1243,BIPA_b_u0253,ɓ,,,,false,lapsyd,movima
209,ndjebbana_djee1236,BIPA_n_u006E,n,,,,false,lapsyd,ndjebbana
210,pechculmidialect_pech1241,BIPA_m_u006D,m,,,,false,lapsyd,pechculmidialect
212,egyptianarabic_egyp1253,BIPA_m_u006D,m,,,,false,lapsyd,egyptianarabic
213,uyghurstandarddialectofurumqi_uigh1240,BIPA_s_u0073,'s',,,,true,lapsyd,uyghurstandarddialectofurumqi
214,bawm_bawm1236,BIPA_h_u0068,h,,,,false,lapsyd,bawm
215,nunggubuyu_nung1290,BIPA_t_u0288,ʈ,,,,false,lapsyd,nunggubuyu
216,nakkara_naka1260,BIPA_i_u0069,i,,,,false,lapsyd,nakkara
217,sango_sang1328,BIPA_b_u0253,ɓ,,,,false,lapsyd,sango
218,bribri_brib1243,BIPA_i_u0069,i,,,,false,lapsyd,bribri
219,isokouzeredialect_uzer1238,BIPA_v_u0076,v,,,,false,lapsyd,isokouzeredialect
220,kokota_koko1269,BIPA_g_u0261,ɡ,,,,false,lapsyd,kokota
221,lakotateton_lako1247,BIPA_g_u0263,ɣ,,,,false,lapsyd,lakotateton
222,nyangi_nyan1313,BIPA_t_u0074,t,,,,false,lapsyd,nyangi
223,muinane_muin1242,BIPA_u_u0075,u,,,,false,lapsyd,muinane
224,hebrewmodernashkenazic_hebr1245,BIPA_l_u006C,l,,,,false,lapsyd,hebrewmodernashkenazic
225,mongnjua_hmon1264,BIPA_z_u0292,ʒ,,,,false,lapsyd,mongnjua
226,chatinowesternhighland_west2644,BIPA_ts_u0074u0320u0283,t̠ʃ,,,,false,lapsyd,chatinowesternhighland
227,otomimezquital_mezq1235,BIPA_b_u03B2,β,,,,false,lapsyd,otomimezquital
228,mehrimehreyyetdialect_mehr1241,BIPA_t_u0074,t,,,,false,lapsyd,mehrimehreyyetdialect
229,ngiti_ngit1239,BIPA_n_u0272,ɲ,,,,false,lapsyd,ngiti
230,lawu_lawu1238,BIPA_tsh_u0074u0073u02B0,tsʰ,,,,false,lapsyd,lawu
231,japreria_japr1238,BIPA_a_u0061,a,,,,false,lapsyd,japreria
233,bashkir_bash1264,BIPA_i_u0069,i,,,,false,lapsyd,bashkir
234,lelepa_lele1267,BIPA_t_u0074,t,,,,false,lapsyd,lelepa
235,newarikathmandudialect_newa1246,BIPA_d_u0064u0324,d̤,,,,false,lapsyd,newarikathmandudialect
236,cowlitz_cowl1242,BIPA_ts_u0074u0073,ts,,,,false,lapsyd,cowlitz
238,aymaracentral_cent2142,BIPA_k_u006Bu02BC,kʼ,,,,false,lapsyd,aymaracentral
241,chukchansi_yoku1256,BIPA_u_u0075,u,,,,false,lapsyd,chukchansi
242,mandan_mand1446,BIPA_p_u0070,p,,,,false,lapsyd,mandan
243,tulu_tulu1258,BIPA_e_u0065u02D0,eː,,,,false,lapsyd,tulu
244,slaveharedialectnorth_nort2942,BIPA_e_u025Bu0303,ɛ̃,,,,false,lapsyd,slaveharedialectnorth
245,nezperce_nezp1238,BIPA_kw_u006Bu02B7,kʷ,,,,false,lapsyd,nezperce
246,silti_silt1240,BIPA_k_u006Bu02BC,kʼ,,,,false,lapsyd,silti
247,bisu_bisu1244,BIPA_o_u0254,ɔ,,,,false,lapsyd,bisu
249,selkuptaznortherndialect_selk1253,BIPA_i_u0069u02D0,iː,,,,false,lapsyd,selkuptaznortherndialect
250,azande_zand1248,BIPA_gb_u0261u0062,ɡb,,,,false,lapsyd,azande
251,embera_embe1262,BIPA_b_u0062,b,,,,false,lapsyd,embera
252,noon_noon1242,BIPA_ng_u014B,ŋ,,,,false,lapsyd,noon
253,mbane_mbaa1245,BIPA_k_u006B,k,,,,false,lapsyd,mbane
254,uyghurstandarddialectofurumqi_uigh1240,BIPA__u0294,ʔ,,,,false,lapsyd,uyghurstandarddialectofurumqi
255,rapanui_rapa1244,BIPA_vw_u0076u02B7,vʷ,,,,false,lapsyd,rapanui
256,irishdonegaldialect_done1238,BIPA_c_u0063,c,,,,false,lapsyd,irishdonegaldialect
257,abkhaz_abkh1244,BIPA_z_u007A,z,,,,false,lapsyd,abkhaz
258,chimila_chim1309,BIPA_s_u0073u032A,s̪,,,,false,lapsyd,chimila
260,bagirmi_bagi1246,BIPA_d_u0256,ɖ,,,,false,lapsyd,bagirmi
261,comanche_coma1245,BIPA_w_u0077,w,,,,false,lapsyd,comanche
262,amahuaca_amah1246,BIPA_o_u00F5,õ,,,,false,lapsyd,amahuaca
263,creeplains_plai1258,BIPA_ts_u0074u0073,ts,,,,false,lapsyd,creeplains
264,urubukaapor_urub1250,BIPA__u0294,ʔ,,,,false,lapsyd,urubukaapor
265,nakkara_naka1260,BIPA_n_u006E,n,,,,false,lapsyd,nakkara
266,bats_bats1242,BIPA_d_u0064u032A,d̪,,,,false,lapsyd,bats
267,tulu_tulu1258,BIPA_s_u0073,s,,,,false,lapsyd,tulu
268,tol_toll1241,BIPA_s_u0073,s,,,,false,lapsyd,tol
269,yoruba_yoru1245,BIPA_gb_u0261u0062,ɡb,,,,false,lapsyd,yoruba
272,efik_efik1245,BIPA_m_u006D,m,,,,false,lapsyd,efik
273,malgbe_malg1250,BIPA_f_u0066,f,,,,false,lapsyd,malgbe
274,italian_ital1282,BIPA_o_u0254,ɔ,,,,false,lapsyd,italian
275,thakalitukchedialect_thak1245,BIPA_l_u006Cu0325,l̥,,,,false,lapsyd,thakalitukchedialect
276,ahtna_ahte1237,BIPA_e_u025B,ɛ,,,,false,lapsyd,ahtna
277,tigre_tigr1270,BIPA_f_u0066,f,,,,false,lapsyd,tigre
278,basariguineesenegal_bass1258,BIPA_l_u006C,l,,,,false,lapsyd,basariguineesenegal
279,huambisa_huam1247,BIPA_k_u006B,k,,,,false,lapsyd,huambisa
280,nuxalk_bell1243,BIPA_khw_u03C7u02B7,χʷ,,,,false,lapsyd,nuxalk
281,tampulma_tamp1252,BIPA_p_u0070,p,,,,false,lapsyd,tampulma
282,urarina_urar1246,BIPA_k_u006B,k,,,,false,lapsyd,urarina
283,emerillon_emer1243,BIPA_t_u0074,t,,,,false,lapsyd,emerillon
